URL;Title;Subtitle;Price;Breadcrumbs;Options;Images;Description
https://roastcoast.ru/cofe/dlya-espresso/black-forest-200g-espresso;Black Forest/Блэк Форест;Кофе для эспрессо;613  ₽;Главная > Кофе > Для эспрессо > Black Forest 200г. (эспрессо);"{""product_select"": [""200 g"", ""1000 g""], ""option[304]"": [""Не нужен"", ""Нужен""]}";https://roastcoast.ru/image/cache/catalog/new03/blekforest-517x540.jpg;В составе бленда арабика из Бразилии и робуста из Уганды. Благодаря такому сочетанию, кофе очень плотный, практически без кислотности. В аромате шоколад, во вкусе финики, грейпфрут и чернослив. Тело плотное и гладкое.Рекомендации по приготовлению эспрессо:Температура воды: 93 градусаВес кофе: 18-19 грамм на двойной эспрессо
https://roastcoast.ru/cofe/dlya-espresso/el-classico-200g-espresso;El Classico/Эль Классико;Кофе для эспрессо;667  ₽;Главная > Кофе > Для эспрессо > El Classico 200г. (эспрессо);"{""product_select"": [""200 g"", ""1000 g""], ""option[306]"": [""Не нужен"", ""Нужен""]}";https://roastcoast.ru/image/cache/catalog/new03/elklassiko-517x540.jpg;Благодаря сочетанию в бленде натуральной Бразилии и мытой Колумбии, кофе сочный, сбалансированный, шоколадно-ореховый профиль в сочетании с нотами ягодного варенья и смородинового листа на послевкусии.
https://roastcoast.ru/cofe/dlya-espresso/sweet-hills-200g-espresso;Sweet Hills/Свит Хилс;Кофе для эспрессо;620  ₽;Главная > Кофе > Для эспрессо > Sweet Hills 200г. (эспрессо);"{""product_select"": [""200 g"", ""1000 g""], ""option[307]"": [""Не нужен"", ""Нужен""]}";https://roastcoast.ru/image/cache/catalog/new03/svithills-517x540.jpg;Благодаря сочетанию в бленде натуральной Бразилии и Эфиопии, кофе очень сбалансированный, плотный, шоколадно-ореховый профиль в сочетании с нотами лесных ягод и абрикоса на послевкусии.
https://roastcoast.ru/cofe/dlya-espresso/braziliya-minas-zherajs-200g-espresso;Бразилия Минас Жерайс;Кофе для эспрессо;617  ₽;Главная > Кофе > Для эспрессо > Бразилия Минас Жерайс 200г. (эспрессо);"{""product_select"": [""200 g"", ""1000 g""], ""option[270]"": [""Не нужен"", ""Нужен""]}";https://roastcoast.ru/image/cache/catalog/new03/brazilijaminas-517x540.jpg;"Насыщенный, сладкий кофе с приятной горчинкой и невысокой кислотностью.  Тело плотное, хорошей интенсивности, бархатистое, в аромате раскрывается  сочетанием специй, орехов, во вкусе ноты шоколада и карамели."
https://roastcoast.ru/cofe/dlya-espresso/gvatemala-dekaf-200g-espresso;Гватемала Декаф;Кофе для эспрессо;755  ₽;Главная > Кофе > Для эспрессо > Гватемала Декаф 200г. (эспрессо);"{""product_select"": [""200 г."", ""1кг.""], ""option[564]"": [""Не нужен"", ""Нужен""]}";https://roastcoast.ru/image/cache/catalog/new07/novajapachkagvatemaladekaf-517x540.jpg;Смесь L&B Decaf состоит из разных компонентов, которые могут чередоваться, но основные регионы остаются неизменными. Это «мягкие» арабики из Центральной и Латинской Америки — Гватемала или Колумбия, мытые арабики из Восточной Африки — Кения, Танзания или Эфиопия и арабики из Азии — Папуа-Новая Гвинея, Индия или Индонезия.Процесс декофеинизации осуществляется следующим способом: зерна подвергаются воздействию горячего пара в течение приблизительно 30 минут, что позволяет порам зерна раскрыться. После этого в течение приблизительно 10 часов производится обработка смеси растворителем кофеина дихлорметаном (СH2Cl2). Удаленный в результате обработки кофеин смывается водой, а зерна вновь обрабатываются горячим паром под давлением для удаления остатков растворителя. Риск для здоровья от применения дихлорметана близок к нулю — растворитель разрушается при температуре 40 °C. За счет своей летучести во время обработки кофе горячим паром, а впоследствии обжарки, дихлорметан удаляется с зерен на 100%. Наконец, на последней стадии процесса смесь высушивается горячим воздухом до 11–13% влажности, затем охлаждается и дополнительно полируется. Полученная в результате процесса смесь отличается коричневым цветом, вкусом, близким к оригинальному, а также содержит менее 0,1% кофеина (в исходных арабиках содержание кофеина находится в пределах 1–1,5%).Декофеинизация осуществляется бременской компанией Coffein Compagnie.
https://roastcoast.ru/cofe/dlya-filtra/gvatemala-finka-san-antonio-200g-filtr;Гватемала Финка Сан Антонио;Кофе для фильтра;818  ₽;Главная > Кофе > Для фильтра > Гватемала Финка Сан Антонио 200г. (фильтр);"{""product_select"": [""200 г."", ""1 кг.""], ""option[591]"": [""Не нужен"", ""Нужен""]}";https://roastcoast.ru/image/cache/catalog/newfilter/gvatemaladajkafinku-517x540.jpg;Регион  Chuabarena, Cubulco, Baja VerapazФермерыDiego PerezФерма San AntonioРазмер фермы1.4 hasВысота 1,700 m.a.s.lМетод обработки WashedРазновидность Caturra, Catimor, & SarchimorДескрипторыгруша, цветочный мёд, апельсинВкусовые характеристикиСпелые фрукты и округлое тело, искристая кислотность Уже более 14 лет Диего Перес Тиста посвящает себя выращиванию кофе на ферме Finca San Antonio. Этот труд стал надежной основой для его семьи и местной общины. Ферма расположена в живописном горном поселении Чуабарена (муниципалитет Кубулько, регион Баха-Верапас) посреди сосновых лесов центрального нагорья Гватемалы. Здесь Диего вместе с семьей и сезонными работниками из числа коренных народов Ачи бережно выращивает разновидности Катурра, Катимор и Сарчимор.Процесс обработки: На ферме практикуют классический мытый метод с жестким контролем качества. Ягоды собирают вручную на пике спелости, депулируют на двухдисковом механическом депуляторе и обязательно сортируют, удаляя зерна низкого качества перед ферментацией, которая длится около 24 часов. Максимальное внимание к деталям на каждом этапе — от селективного сбора до сушки — позволяет Диего производить безупречно чистый мытый кофе с очень стабильным профилем. Этот лот гармонично сочетает в себе свежесть гватемальского высокогорья и заботу, вложенную фермером в каждый урожай.
https://roastcoast.ru/cofe/dlya-filtra/gvatemala-el-sokorro-200g-filtr;Гватемала Эль Сокорро;Кофе для фильтра;818  ₽;Главная > Кофе > Для фильтра > Гватемала Эль Сокорро 200г. (фильтр);"{""product_select"": [""200 г."", ""1 кг.""], ""option[594]"": [""Не нужен"", ""Нужен""]}";https://roastcoast.ru/image/cache/catalog/newfilter/gvatemaladajkafinkuel-517x540.jpg;Регион  Санта-Роса (Santa Rosa), окрестности озера АярзаФерма Финка Эль Сокорро (Finca El Socorro)Высота 1,400 - 2,000 m.a.s.lМетод обработки НатуральныйРазновидность Catuai, Anacafe 14, Pache, Bourbon, San RamonДескрипторы Аромат: Богатый, сладкий, с нотами спелых ягод, таких как малина и черника, а также легким цветочным оттенком, напоминающим жасмин.Вкус: Яркая и приятная кислотность с выраженными фруктовыми нотами, такими как красные яблоки, слива, а также цитрусовые (особенно апельсин). Вкус также имеет сладкие нотки, напоминающие мед или карамель.Послевкусие: Долгое, с легкими тропическими фруктами и сладкими нотами, такими как карамель и жасминовый мед. Guatemala Ayarza Natural — это кофе, производимый в одном из наиболее известных кофейных регионов Гватемалы, Аярза, расположенном в департаменте Santa Rosa, на юго-востоке страны. Регион известен своими высокогорьями и вулканической почвой, что создает идеальные условия для выращивания кофеНазвание Ayarza происходит от местности и связано с корнями древних майянских языков, которые использовались местными жителями. Это слово может отражать связь с природными объектами или событиями, характерными для региона, что добавляет исторический контекст к культуре производства кофе в этом районе.Уникальные климатические условия региона, прохладные ночи и теплые дни, а также высокие вулканические почвы способствуют медленному созреванию кофейных плодов, что помогает раскрытию яркой кислотности и фруктовых нот. Это придает кофе Ayarza его исключительные вкусовые характеристики.
https://roastcoast.ru/cofe/dlya-filtra/indoneziya-sumatra-gajo-200g-filtr;Индонезия Суматра Гайо;Кофе для фильтра;790  ₽;Главная > Кофе > Для фильтра > Индонезия Суматра Гайо 200г. (фильтр);"{""product_select"": [""200 г."", ""1 кг.""], ""option[596]"": [""Не нужен"", ""Нужен""]}";https://roastcoast.ru/image/cache/catalog/newfilter/indonezijasumatrajou-517x540.jpg;Провинция: АчехОкруг: БенермериахПроизводители: 490 небольших землевладельцев Площадь области производства: 505 гаВысота произрастания: 1250–1450 метров над уровнем моряРазновидность: типика, гайо суперСбор урожая: основной урожай — с октября по январь, второй урожай — с апреля по июньОбработка: гилинг-басахВыращивание кофе в Индонезии имеет 300-летнюю историю, сильное влияние на которую оказала колонизация страны голландцами. После объявления независимости плантации были либо закрыты, либо перешли в собственность государства. Сегодня Индонезия является четвертым по величине производителем кофе в мире. Около 92% производства страны находится в руках небольших производителей, использующих традиционные техники.Многие сорта отсюда называются в честь этнической группы Гайо, живущей преимущественно в северной части острова Суматра. Небольшие землевладельцы, производящие этот кофе, находятся в округе Бенермериах в центре провинции Ачех.  Зерна суматранского кофе визуально отличимы от зерен из других регионов — их цвет более темный (темно-зеленый, голубовато-темно-зеленый). Причиной этого является особенная для страны обработка — так называемый гилинг-басах. Этот метод обработки осуществляют следующим образом: сразу после сбора фермеры депульпируют ягоды и оставляют зерна в пергаментной оболочке и клейковине ферментироваться на ночь.  Ферментация позволяет легко отделить клейковину от пачмента (пергаментной оболочки). Далее фермер отправляет пачмент сушиться на несколько часов. Изначально влажность пачмента составляет 65%. Когда уровень влажности достигает 50%, пачмент отправляется на станцию обработки.Там его еще немного подсушивают и отправляют дальше на халлинг. Если обычно халлинг делают для кофе влажности 11–12%, то здесь он попадает на халлинг более влажным (около 40%), поэтому метод гилинг-басах по-английски так и называется —  wet hulled. Это придает суматранскому кофе специфические древесно-пряные оттенки, этим объясняется и темно-зеленый цвет зерен. Сушка зеленых зерен (до экспортного уровня влажности 12%), грейдинг и подготовка к экспорту осуществляется уже в Медане.
https://roastcoast.ru/cofe/dlya-filtra/keniya-kabingara-200g-filtr;Кения Кабингара;Кофе для фильтра;894  ₽;Главная > Кофе > Для фильтра > Кения Кабингара 200г. (фильтр);"{""product_select"": [""200 г."", ""1 кг.""], ""option[598]"": [""Не нужен"", ""Нужен""]}";https://roastcoast.ru/image/cache/catalog/newfilter/kenijakapibara-517x540.jpg;Регион: округ КириньягаСбор урожая: май — июнь, ноябрь — декабрьКоличество осадков: 1200 мм в годТемпература: 13–24 °CВысота произрастания: 1500 м над уровнем моряТип почв: красные вулканические почвы Разновидности: SL28, SL34, руиру-11, батиан *FCS — Farmers’ Cooperative Society. Станция обработки Кабингара была основана в 1988 году, она расположена в округе Кириньяга на участке земли площадью около 3 га. Сюда поступает кофе из деревень Камвана, Гатумби, Китама и Катхака (Kamwana, Gatumbi, Kithama, Kathaka). Кабингара принадлежит кооперативу Каритати (Karithathi FCS), в котором в настоящее время насчитывается 500 местных фермеров. Станцией управляет менеджер и 6 постоянных сотрудников, а также от 2 до 10 сезонных временных работников.Сбор и сортировка урожая Кофе на фермах растет в тени макадамии и гревиллеи. Вместе с кофейными деревьями на фермах часто высаживают кукурузу и банановые деревья. Спелые ягоды собирают вручную и доставляют на станцию обработки в тот же день, ягоды дополнительно сортируют вручную работники станции при поступлении. Обработка Станция оснащена дисковыми депульпаторами, ферментационными резервуарами и африканскими кроватями. В рамках стандартов экологического менеджмента на станции внедрены водосберегающие рециркуляторы. Использованная в процессе промывки вода отводится по закрытым каналам в очистные эко-резервуары (часто их называют wastewater lagoons или soak pits), где проходит биологическую нейтрализацию органики и кислот. После очистки вода безопасно дренируется в почву. fully washed / kenyan style В первые 24 часа поступивший на станцию обработки и отсортированный кофе депульпируют. После депульпации кофе ферментируют в течение ночи. Далее (после ферментации) кофе в парчменте тщательно промывают и замачивают на несколько часов в чистой воде, затем равномерно распределяют для сушки на африканских кроватях.  В зависимости от погодных условий сушка занимает от одной до нескольких недель (пока влажность не достигнет 11–12%). В течение сушки кофе (в парчменте) перебирают вручную, удаляя дефекты. Во время дождя парчмент накрывают брезентом, также его накрывают в полдень (чтобы избежать перегрева и повреждения парчмента).
https://roastcoast.ru/cofe/dlya-filtra/keniya-kasinga-200g-filtr;Кения Касинга;Кофе для фильтра;882  ₽;Главная > Кофе > Для фильтра > Кения Касинга 200г. (фильтр);"{""product_select"": [""200 г."", ""1кг.""], ""option[568]"": [""Не нужен"", ""Нужен""]}";https://roastcoast.ru/image/cache/catalog/new07/pachkakenijakaksimba-517x540.jpg;Мандарин, темные ягоды, черный чай, шиповникстанция  касинга регион  мачакос высота  1656 м почва красная вулканическаясорт  руиру 11, sl 28обработка   мытая урожай  2025 Станция мытой обработки Касинга находится в округе Мачакос. Местные жители говорят на диалекте камба. Название «Касинга» на языке камба означает «обработанное через огонь» (что-то, обработанное с помощью горения). Кофейные ягоды собирают вручную и отправляют на станцию мытой обработки. Перед тем, как вся масса красных спелых ягод будет перемещена в ёмкость для пульпирования, они раскладываются на патио под солнечными лучами, где их сортируют вручную от перезрелых, недозрелых ягод и посторонних предметов. Затем ягоды чистят от мякоти между двумя вращающимися абразивными плитами с использованием чистой воды из реки Тета. А дальше кофейные зерна выпадают из пресса в водный канал, легкие зерна всплывают и удаляются, а более плотные зерна тонут и вытекают через отверстие внизу, попадая в ферментационные танки, где их оставляют на ночь. На следующий день зерна еще раз тщательно промывают в специальных каналах, разделяя по качеству и отправляют на солнечные патио на 7-15 дней. Здесь осуществляют тщательный контроль за влажностью. Как только она достигнет целевого показателя 10–12 %, кофе будет упакован для транспортировки на станцию предэкспортной обработки.
